"127","256","115","277"
"128","278","8","12"
"129","278","8","15"
"130","278","8","128"
"131","278","8","13"
"132","278","8","132"
"133","278","8","19"
"134","278","8","275"
"135","279","12","55"
"136","281","8","113"
"137","281","8","248"
"138","19","14","281"
"139","282","8","245"
"140","283","1","32"
"141","32","12","248"
"142","32","12","249"
"143","284","12","29"
"144","241","12","29"
"145","285","12","29"
"146","285","12","286"
"147","285","1","284"
"148","287","12","281"
"149","288","1","256"
"150","290","7","289"
"151","292","7","291"
"152","294","43","48"
"153","300","1","298"
"154","300","1","296"
"155","300","1","299"
"156","301","1","300"
"157","302","12","301"
"158","303","1","301"
"159","304","1","301"
"160","304","12","297"
"161","305","12","301"
"162","306","1","305"
"163","306","12","301"
"164","307","12","301"
"165","308","12","301"
"166","310","12","301"
"167","311","1","299"
"168","312","1","300"
"169","313","1","300"
"170","314","1","301"
"171","317","8","220"
"172","317","8","202"
"173","317","8","211"
"174","317","8","198"
"175","317","8","217"
"176","317","8","209"
"177","317","8","204"
"178","318","1","317"
"179","322","12","55"
"180","323","1","35"
"181","323","1","34"
"182","324","1","34"
"183","324","1","35"
"184","324","1","323"
"185","326","12","325"
"186","328","1","232"
"187","328","1","167"
"188","328","1","160"
"189","330","7","329"
"190","331","7","329"
"191","331","14","330"
"192","333","1","150"
"193","333","1","44"
"194","334","103","40"
"195","337","12","55"
"196","337","27","47"
"197","338","1","47"
"198","341","1","55"
"199","343","1","342"
"200","344","1","55"
"201","345","1","344"
"202","336","1","343"
"203","348","1","347"
"204","348","12","345"
"205","348","12","280"
"206","348","1","344"
"207","349","1","345"
"208","349","8","348"
"209","350","1","345"
"210","350","7","348"
"211","350","1","344"
"212","350","1","349"
"213","352","12","350"
"214","352","1","349"
"215","352","1","348"
"216","352","1","345"
"217","352","12","55"
"218","353","10","323"
"219","353","1","324"
"220","354","10","324"
"221","354","12","353"
"222","355","8","329"
"223","356","1","222"
"224","360","7","340"
"225","362","12","281"
"227","366","12","281"
"228","367","13","34"
"229","368","27","367"
"230","368","13","35"
"231","369","1","38"
"232","370","1","369"
"233","373","7","372"
"234","374","7","372"
"235","375","4","372"
"236","376","7","372"
"237","377","7","372"
"238","378","7","372"
"239","378","7","377"
"240","379","7","372"
"241","379","12","301"
"242","380","8","379"
"243","380","7","372"
"244","381","7","372"
"245","382","7","372"
"246","384","7","383"
"247","385","7","383"
"248","386","7","383"
"249","387","7","383"
"250","389","12","50"
"251","390","1","95"
"252","391","1","1"
"253","394","115","325"
"254","394","115","194"
"255","394","1","41"
"256","394","120","326"
"257","394","115","329"
"258","394","115","395"
"259","396","12","36"
"260","397","7","395"
"261","394","115","397"
"262","399","12","398"
"263","400","12","399"
"264","400","12","398"
"265","401","12","399"
"266","401","12","400"
"267","402","1","398"
"268","403","1","398"
"269","403","8","399"
"270","403","8","400"
"271","403","8","402"
"272","403","8","401"
"273","404","1","167"
"274","407","12","136"
"275","408","7","407"
"276","409","13","408"
"277","409","7","407"
"278","420","8","418"
"279","421","7","418"
"280","422","8","421"
"281","422","8","418"
"282","423","27","422"
"283","424","7","423"
"284","424","27","422"
"285","425","1","422"
"286","426","27","425"
"287","428","12","2"
"288","429","12","2"
"289","430","1","428"
"290","430","1","429"
"291","431","1","430"
"292","431","1","428"
"293","432","1","2"
"294","433","12","2"
"295","433","1","429"
"296","428","50","433"
"297","436","12","2"
"298","438","12","437"
"299","443","1","442"
"300","444","10","443"
"301","445","75","443"
"302","446","1","443"
"303","446","27","445"
"304","447","1","446"
"305","447","1","445"
"306","449","1","448"
"307","451","1","450"
"308","452","1","410"
"309","454","8","453"
"310","455","8","454"
"311","455","8","453"
"312","456","12","455"
"313","457","1","443"
"314","457","1","447"
"315","461","7","460"
"316","462","1","253"
"317","463","1","462"
"318","464","1","462"
"319","465","1","462"
"320","465","1","463"
"321","465","1","464"
"322","470","1","344"
"323","470","12","55"
"324","471","27","55"
"325","472","12","55"
"326","473","12","55"
"327","473","12","472"
"328","476","1","475"
"329","476","12","55"
"330","476","12","472"
"331","476","12","471"
"332","478","12","55"
"333","484","12","483"
"334","485","1","483"
"335","488","12","6"
"336","488","12","53"
"337","496","12","486"
"338","497","12","483"
"339","498","12","483"
"340","499","1","483"
"341","500","126","483"
"342","503","1","116"
"343","505","12","55"
"344","508","12","488"
"345","510","12","486"
"346","511","12","486"
"347","512","12","486"
"348","514","12","486"
"349","514","12","510"
"350","515","12","471"
"351","515","12","472"
"352","515","12","55"
"353","515","12","487"
"354","515","12","483"
"356","517","12","486"
"357","517","125","516"
"358","521","12","486"
"359","522","1","519"
"360","524","1","490"
"361","526","8","490"
